"MSFD";"Greater North Sea";"Baltic Sea";"Celtic Seas";"Bay of Biscay and the Iberian Coast"
"Littoral rock and biogenic reef";"NP";"NP";"NP";"NP"
"Littoral sediment";"NP";"NP";"NP";"NP"
"Infralittoral rock and biogenic reef";"17.4";"93.8";"19.7";"66.1"
"Infralittoral coarse sediment";"23.9";"74.6";"12.4";"41.6"
"Infralittoral mixed sediment";"60.8";"86.1";"33.6";"52.3"
"Infralittoral sand";"42.9";"40.6";"9.1";"64.5"
"Infralittoral mud";"44.5";"68.5";"35.2";"62.1"
"Infralittoral mud or Infralittoral sand";"NP";"97.4";"NP";"NP"
"Circalittoral rock and biogenic reef";"19";"97.4";"28.3";"47.1"
"Circalittoral coarse sediment";"3";"84";"32.2";"3.9"
"Circalittoral mixed sediment";"17.9";"90.4";"41.2";"79.3"
"Circalittoral sand";"3.1";"54.5";"22.9";"26.5"
"Circalittoral mud";"12";"79.3";"10.5";"32.9"
"Circalittoral mud or Circalittoral sand";"NP";"86.2";"NP";"NP"
"Offshore circalittoral rock and biogenic reef";"4.1";"99.2";"21.7";"18.1"
"Offshore circalittoral coarse sediment";"0.1";"84.9";"15.5";"1.1"
"Offshore circalittoral mixed sediment";"1";"58.4";"34.2";"14.2"
"Offshore circalittoral sand";"0.2";"11.5";"2";"3.7"
"Offshore circalittoral mud";"0.2";"41.3";"1.7";"16.4"
"Offshore circalittoral mud or Offshore circalittoral sand";"NP";"77.3";"NP";"NP"
"Upper bathyal rock and biogenic reef";"0";"NP";"7";"37.6"
"Upper bathyal sediment";"7.9";"NP";"13.9";"19.7"
"Upper bathyal sediment or Upper bathyal rock and biogenic reef";"NP";"NP";"22.7";"40.9"
"Lower bathyal rock and biogenic reef";"NP";"NP";"NP";"30.5"
"Lower bathyal sediment";"NP";"NP";"37.6";"28.3"
"Lower bathyal sediment or Lower bathyal rock and biogenic reef";"NP";"NP";"15.7";"43.2"
"Abyssal";"NP";"NP";"NP";"3.4"
"Unknown";"0.5";"NP";"29.5";"56.9"
